2024-11-24 07:51:57.807 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2024-11-24 07:51:59.113 [main] INFO  com.gtcafe.asimov.consumer.Main - Starting Main using Java 17.0.13 with PID 132231 (/home/ubuntu/repos/asimov/event-consumer/build/classes/java/main started by ubuntu in /home/ubuntu/repos/asimov/event-consumer)
2024-11-24 07:51:59.115 [main] INFO  com.gtcafe.asimov.consumer.Main - No active profile set, falling back to 1 default profile: "default"
2024-11-24 07:51:59.443 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-11-24 07:51:59.444 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-11-24 07:51:59.460 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2024-11-24 07:51:59.664 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-11-24 07:51:59.669 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-11-24 07:51:59.670 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-11-24 07:51:59.671 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2024-11-24 07:51:59.712 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-24 07:51:59.712 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 573 ms
2024-11-24 07:52:00.189 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-11-24 07:52:00.201 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
